# n_sub	n_ins	n_del
174	912	331
305	1460	502
209	931	351
176	773	316
253	1221	453
262	1382	514
215	1237	447
230	1158	414
135	713	282
223	1062	353
130	596	272
340	1561	537
182	943	366
239	1182	420
295	1592	562
189	880	347
195	979	414
292	1575	635
220	1200	427
217	1084	379
306	1676	598
392	1861	730
248	1157	425
217	1145	458
223	1152	409
230	1045	395
281	1346	487
217	1038	361
197	966	383
306	1590	590
192	1024	383
227	1128	428
165	917	326
244	1268	466
203	952	373
222	1121	378
281	1370	553
187	951	344
291	1413	498
353	1746	643
204	983	353
238	1236	428
299	1590	577
165	906	361
205	1005	440
291	1538	602
351	1893	708
312	1558	597
303	1587	529
196	926	363
171	885	346
356	1836	749
218	1174	443
69	396	177
287	1424	564
133	769	288
202	1141	432
222	1132	454
125	622	241
185	895	347
169	988	362
268	1200	488
228	1053	422
277	1538	531
163	879	336
228	1006	394
201	1112	409
317	1544	621
204	898	348
163	792	296
332	1587	613
170	916	338
150	802	313
234	1075	434
260	1424	507
161	862	322
238	1071	443
202	1117	432
177	931	326
376	1817	678
197	1058	393
123	663	267
283	1455	544
161	814	303
156	829	322
151	834	349
176	915	359
196	1052	372
248	1126	450
252	1114	420
194	1002	342
141	801	316
278	1192	451
289	1577	606
222	1159	419
149	777	296
155	848	332
258	1257	468
124	720	297
259	1094	474
198	1007	414
198	859	331
213	1009	355
224	1275	451
165	836	315
252	1363	473
261	1241	475
242	1204	492
116	640	195
231	1138	414
288	1265	481
260	1315	523
291	1605	586
195	957	324
193	1003	331
277	1463	531
368	1774	671
200	1058	413
320	1691	630
140	779	258
265	1298	488
204	1033	387
157	768	299
260	1164	451
204	952	324
101	465	168
241	1190	424
174	898	344
280	1342	550
199	1028	381
201	1097	372
311	1513	547
222	1005	401
122	526	212
248	1304	479
181	918	349
183	853	354
223	1144	400
201	1087	431
178	1012	349
139	726	316
157	792	283
124	792	288
245	1241	496
194	850	329
219	1100	437
180	923	338
312	1689	630
186	830	289
170	842	328
221	1049	392
151	648	221
220	1077	380
250	1213	464
230	1245	469
209	1040	383
200	1028	370
247	1303	497
276	1470	513
283	1543	579
201	1039	378
216	1133	430
267	1376	544
116	607	214
202	1024	390
180	943	360
87	434	168
254	1195	445
310	1542	507
140	734	273
326	1709	625
210	1142	429
214	1077	409
275	1444	542
185	947	369
286	1488	489
210	981	354
241	1172	455
250	1223	439
158	746	290
151	655	268
193	947	313
216	1065	369
207	1171	408
327	1776	619
237	1286	516
139	832	305
286	1528	598
204	965	326
263	1400	523
197	1038	398
179	824	347
211	1085	425
86	400	120
237	1151	418
156	786	314
310	1539	603
240	1055	390
377	1932	696
237	1116	415
294	1594	626
180	885	322
134	706	283
66	319	106
81	377	134
159	749	284
467	2245	800
217	1116	406
322	1622	603
189	906	360
126	690	240
223	1139	423
285	1305	465
210	1210	416
229	1084	391
323	1580	572
173	1030	369
286	1443	570
153	898	360
139	662	267
231	1047	397
148	782	303
132	583	249
201	1109	443
258	1082	426
425	2237	738
81	385	172
236	1221	467
292	1325	501
